Station ID 	  : 2421003
Station Name  : Simpang Ampat
District Name : Alor Gajah
	Date			Rainfall
31/05/2023				5
01/06/2023				0
02/06/2023				0
03/06/2023				4
04/06/2023				1
05/06/2023				0
The average of daily rainfall for 6 days in Simpang Ampat station : 1%
